"","state.name","id","county","population","FIPS"
"1","Texas","0500000US48011","armstrong county",1848,"48011"
"2","Texas","0500000US48023","baylor county",3465,"48023"
"3","Texas","0500000US48031","blanco county",11374,"48031"
"4","Texas","0500000US48033","borden county",631,"48033"
"5","Texas","0500000US48035","bosque county",18235,"48035"
"6","Texas","0500000US48043","brewster county",9546,"48043"
"7","Texas","0500000US48045","briscoe county",1435,"48045"
"8","Texas","0500000US48047","brooks county",7076,"48047"
"9","Texas","0500000US48051","burleson county",17642,"48051"
"10","Texas","0500000US48059","callahan county",13708,"48059"
"11","Texas","0500000US48063","camp county",12464,"48063"
"12","Texas","0500000US48065","carson county",5807,"48065"
"13","Texas","0500000US48073","cherokee county",50412,"48073"
"14","Texas","0500000US48077","clay county",10218,"48077"
"15","Texas","0500000US48079","cochran county",2547,"48079"
"16","Texas","0500000US48083","coleman county",7684,"48083"
"17","Texas","0500000US48087","collingsworth county",2652,"48087"
"18","Texas","0500000US48095","concho county",3303,"48095"
"19","Texas","0500000US48101","cottle county",1380,"48101"
"20","Texas","0500000US48105","crockett county",3098,"48105"
"21","Texas","0500000US48107","crosby county",5133,"48107"
"22","Texas","0500000US48109","culberson county",2188,"48109"
"23","Texas","0500000US48111","dallam county",7115,"48111"
"24","Texas","0500000US48119","delta county",5230,"48119"
"25","Texas","0500000US48129","donley county",3258,"48129"
"26","Texas","0500000US48137","edwards county",1422,"48137"
"27","Texas","0500000US48143","erath county",42545,"48143"
"28","Texas","0500000US48151","fisher county",3672,"48151"
"29","Texas","0500000US48153","floyd county",5402,"48153"
"30","Texas","0500000US48155","foard county",1095,"48155"
"31","Texas","0500000US48169","garza county",5816,"48169"
"32","Texas","0500000US48173","glasscock county",1116,"48173"
"33","Texas","0500000US48175","goliad county",7012,"48175"
"34","Texas","0500000US48179","gray county",21227,"48179"
"35","Texas","0500000US48187","guadalupe county",172706,"48187"
"36","Texas","0500000US48191","hall county",2825,"48191"
"37","Texas","0500000US48193","hamilton county",8222,"48193"
"38","Texas","0500000US48195","hansford county",5285,"48195"
"39","Texas","0500000US48199","hardin county",56231,"48199"
"40","Texas","0500000US48207","haskell county",5416,"48207"
"41","Texas","0500000US48211","hemphill county",3382,"48211"
"42","Texas","0500000US48219","hockley county",21537,"48219"
"43","Texas","0500000US48229","hudspeth county",3202,"48229"
"44","Texas","0500000US48237","jack county",8472,"48237"
"45","Texas","0500000US48243","jeff davis county",1996,"48243"
"46","Texas","0500000US48261","kenedy county",350,"48261"
"47","Texas","0500000US48263","kent county",753,"48263"
"48","Texas","0500000US48267","kimble county",4286,"48267"
"49","Texas","0500000US48269","king county",265,"48269"
"50","Texas","0500000US48275","knox county",3353,"48275"
"51","Texas","0500000US48279","lamb county",13045,"48279"
"52","Texas","0500000US48281","lampasas county",21627,"48281"
"53","Texas","0500000US48293","limestone county",22146,"48293"
"54","Texas","0500000US48295","lipscomb county",3059,"48295"
"55","Texas","0500000US48297","live oak county",11335,"48297"
"56","Texas","0500000US48301","loving county",64,"48301"
"57","Texas","0500000US48305","lynn county",5596,"48305"
"58","Texas","0500000US48311","mcmullen county",600,"48311"
"59","Texas","0500000US48317","martin county",5237,"48317"
"60","Texas","0500000US48319","mason county",3953,"48319"
"61","Texas","0500000US48341","moore county",21358,"48341"
"62","Texas","0500000US48343","morris county",11973,"48343"
"63","Texas","0500000US48345","motley county",1063,"48345"
"64","Texas","0500000US48359","oldham county",1758,"48359"
"65","Texas","0500000US48369","parmer county",9869,"48369"
"66","Texas","0500000US48371","pecos county",15193,"48371"
"67","Texas","0500000US48377","presidio county",6131,"48377"
"68","Texas","0500000US48379","rains county",12164,"48379"
"69","Texas","0500000US48387","red river county",11587,"48387"
"70","Texas","0500000US48389","reeves county",14748,"48389"
"71","Texas","0500000US48393","roberts county",827,"48393"
"72","Texas","0500000US48395","robertson county",16757,"48395"
"73","Texas","0500000US48405","san augustine county",7918,"48405"
"74","Texas","0500000US48413","schleicher county",2451,"48413"
"75","Texas","0500000US48421","sherman county",2782,"48421"
"76","Texas","0500000US48425","somervell county",9205,"48425"
"77","Texas","0500000US48429","stephens county",9101,"48429"
"78","Texas","0500000US48433","stonewall county",1245,"48433"
"79","Texas","0500000US48443","terrell county",760,"48443"
"80","Texas","0500000US48445","terry county",11831,"48445"
"81","Texas","0500000US48447","throckmorton county",1440,"48447"
"82","Texas","0500000US48461","upton county",3308,"48461"
"83","Texas","0500000US48483","wheeler county",4990,"48483"
"84","Texas","0500000US48485","wichita county",129350,"48485"
"85","Texas","0500000US48487","wilbarger county",12887,"48487"
"86","Texas","0500000US48501","yoakum county",7694,"48501"
"87","Texas","0500000US48507","zavala county",9670,"48507"
"88","Texas","1600000US4814880","chula vista cdp (cameron county)",257,"4814880"
"89","Texas","1600000US4814881","chula vista cdp (maverick county)",5100,"4814881"
"90","Texas","1600000US4814882","chula vista cdp (zavala county)",307,"4814882"
"91","Texas","1600000US4834130","hilltop cdp (frio county)",356,"4834130"
"92","Texas","1600000US4834133","hilltop cdp (starr county)",120,"4834133"
"93","Texas","1600000US4840738","lakeside town (san patricio county)",338,"4840738"
"94","Texas","1600000US4840744","lakeside town (tarrant county)",1649,"4840744"
"95","Texas","1600000US4843462","loma linda east cdp (jim wells county)",305,"4843462"
"96","Texas","1600000US4843463","loma linda east cdp (starr county)",67,"4843463"
"97","Texas","1600000US4844104","los ebanos cdp (hidalgo county)",239,"4844104"
"98","Texas","1600000US4844110","los ebanos cdp (starr county)",281,"4844110"
"99","Texas","1600000US4853154","oak ridge town (cooke county)",242,"4853154"
"100","Texas","1600000US4853160","oak ridge town (kaufman county)",771,"4853160"
"101","Texas","1600000US4861592","reno city (lamar county)",3454,"4861592"
"102","Texas","1600000US4871264","sunset cdp (montague county)",543,"4871264"
"103","Texas","1600000US4871274","sunset cdp (starr county)",34,"4871274"
